KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240322_002543
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
2,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
3,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
4,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
5,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
6,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
7,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
8,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
9,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
10,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
11,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
12,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
13,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
14,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
15,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
16,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
17,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
18,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
19,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
20,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
21,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
22,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
23,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
24,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
25,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
26,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
27,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
28,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
29,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
30,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
31,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
32,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
33,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
34,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
35,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
36,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
37,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
38,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
39,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
40,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
41,Pass,PPPPPPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
